s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 5.6125305E+001, 0.0000000E+000, 0.0000000E+000,-1.6757276E-009,-1.1095704E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6447000E-008,-2.7852980E-009, 0.0000000E+000, 0.0000000E+000
 5.6796127E+001, 0.0000000E+000, 0.0000000E+000,-1.7260154E-009,-1.1205100E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6486631E-008,-2.8465253E-009, 0.0000000E+000, 0.0000000E+000
 5.7411045E+001, 0.0000000E+000, 0.0000000E+000,-1.7767507E-009,-1.1314060E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6446811E-008,-2.9081567E-009, 0.0000000E+000, 0.0000000E+000
 5.8081867E+001, 0.0000000E+000, 0.0000000E+000,-1.8279388E-009,-1.1424031E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6460252E-008,-2.9703420E-009, 0.0000000E+000, 0.0000000E+000
 5.8696785E+001, 0.0000000E+000, 0.0000000E+000,-1.8794908E-009,-1.1533775E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6468014E-008,-3.0328683E-009, 0.0000000E+000, 0.0000000E+000
 5.9367603E+001, 0.0000000E+000, 0.0000000E+000,-1.9314830E-009,-1.1642339E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6493746E-008,-3.0957169E-009, 0.0000000E+000, 0.0000000E+000
 6.0038425E+001, 0.0000000E+000, 0.0000000E+000,-1.9862564E-009,-1.1756396E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6438039E-008,-3.1618960E-009, 0.0000000E+000, 0.0000000E+000
 6.0653343E+001, 0.0000000E+000, 0.0000000E+000,-2.0392981E-009,-1.1865056E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6541470E-008,-3.2258038E-009, 0.0000000E+000, 0.0000000E+000
 6.1324165E+001, 0.0000000E+000, 0.0000000E+000,-2.0929856E-009,-1.1974588E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6545114E-008,-3.2904444E-009, 0.0000000E+000, 0.0000000E+000
 6.1939083E+001, 0.0000000E+000, 0.0000000E+000,-2.1473570E-009,-1.2084116E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6491301E-008,-3.3557686E-009, 0.0000000E+000, 0.0000000E+000
 6.2609905E+001, 0.0000000E+000, 0.0000000E+000,-2.2023560E-009,-1.2192540E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6523595E-008,-3.4216100E-009, 0.0000000E+000, 0.0000000E+000
 6.3224823E+001, 0.0000000E+000, 0.0000000E+000,-2.2579497E-009,-1.2301311E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6554722E-008,-3.4880808E-009, 0.0000000E+000, 0.0000000E+000
